Index,Year of Service,Q2 20 SC ,Q2_Incentive,Grade,TOTAL REV_Jul20,Q2 20WM Revenue % Ach,Q2 20CASA Growth % Ach,TOTAL NQC/NTB %Ach_Jul20,TOTAL Mob_Banking %Ach_Jul20,Jul20_WM,Jul20_CS ACH
29,6,1.5675,20123472.58,11,499948140.0,2.127985164,8.374608026,0.2,0.899256254,118933277.7,1.61
30,8,0.9675,12997861.26,11,480167441.0,1.64147705,-2.427059163,0.5,0.844748858,295264501.7,0.25
31,11,3.92,51369826.15,11,622880879.1,0.761974982,13.20119792,0.5,0.660989457,88542543.08,1.61
32,3,1.8725,26637453.73,11,414672436.0,1.16001867,-1.207296594,0.5,0.652029275,158946547.8,1.35
33,4,1.0075,12000000.0,11,467301516.4,0.963506862,0.999039461,1.0,0.809876543,245537708.6,0.91
34,5,0.8,0.0,10,332278963.1,0.949943957,-6.126159098,0.5,0.81532044,174377737.7,2.44
35,9,0.935,12000000.0,11,501952004.4,0.463962382,3.444521361,2.5,0.577271082,121472037.0,1.42
36,2,0.8425,4757228.914,11,285611635.4,1.809065437,-9.946305087,0.0,0.918877355,127758309.7,2.16
37,25,0.5475,6000000.0,12,582819308.7,0.483245586,0.624392641,0.5,0.622788393,322452136.9,1.36
38,6,2.16,13483213.6,10,334309746.3,1.414315809,-11.26564764,0.0,0.552691867,108749944.2,0.62
39,8,3.14,20034443.09,11,255856100.4,0.670165591,-16.90655533,1.0,0.685499058,84363189.29,0.32
40,7,1.2275,10039917.9,11,325857582.6,1.539059415,2.446404035,0.2,0.586419753,147798192.9,0.44
41,7,0.735,12000000.0,11,606709964.1,0.979502627,-6.430792048,0.0,0.687724014,179926013.7,1.36
42,19,1.09,17806305.99,11,496814683.1,1.265244924,-0.647440032,0.5,0.91982092,144705737.9,1.86
43,5,0.7625,3113343.875,10,267787647.5,1.79325984,-8.431417033,0.0,0.526849037,140953853.7,0.33
44,2,0.69,6000000.0,11,502666540.0,0.510829476,0.655593185,0.5,0.580671087,240825672.1,1.18
45,12,2.2425,19032649.4,11,305397580.5,0.631527506,17.58527879,1.0,0.667117422,85242400.03,1.67
46,7,1.405,19042506.47,10,401865759.3,1.028392222,-3.565924617,0.5,0.72748538,154687302.4,0.37
47,4,1.875,33867819.4,11,365057895.0,3.000360427,3.919439229,1.0,0.830367734,160514150.0,3.11
48,5,1.055,6267050.563,10,261277233.4,0.879751687,2.15692169,0.0,0.639269406,118931478.1,1.39
49,2,1.035,12000000.0,11,431877883.8,1.557038437,-4.192388069,0.0,0.454545455,240024318.7,0.23
50,8,0.9575,3014358.624,10,260379782.2,1.28130381,-2.53660569,0.4,0.544912729,111108601.3,0.67
51,2,1.3025,16527841.78,10,386529546.3,1.576353953,1.050253391,0.0,0.514203524,114448138.9,0.89
52,5,0.955,12000000.0,11,363330450.6,0.740288928,4.193498318,2.0,0.672268908,122351718.4,0.92
53,23,0.805,6000000.0,11,292066831.8,0.633373304,6.229292573,0.5,0.579902612,154713180.0,1.21
54,3,0.9475,1826829.518,10,222128457.6,1.112696079,0.612895766,0.2,0.474806202,105638056.6,0.47
55,1,1.45,10757603.15,10,254076665.8,1.629297483,0.184233953,0.0,0.928104575,88526266.9,1.59
